class,tweet
1,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
1,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
1,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
1,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
1,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
1,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
0,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
0,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
1,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
0,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
1,"""@SukMySweetness: money only impress the simple broke bitches"""
0,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
0,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
1,"""@TayKnosBest: These hoes is crazy"""
0,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it"
1,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
1,"""@Tmacc_GFG: &#8220;@VoiceOfDStreetz: ""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;"
1,"""@TweetGameLazy: I can ride your bitch with no handle bars"""
0,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
0,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
1,"""@WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
1,"""@WitHaPrettyface: @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"
0,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
1,"""@YoungRicooo: &#8220;@WexicanAfro702: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan"
1,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
1,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
1,"""@__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"
1,"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
0,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"""
1,"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
1,"""@bleedingtrap: god teeth , gold chain
white bitches , cocaine"""
0,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha"
0,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof"
1,"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me"
1,"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""
0,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta"
0,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby"
0,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"""
1,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
1,"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
0,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"""
1,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon"
0,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg"""
1,"""@jSadass: loud bitches annoy me"""
1,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu"
1,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye .."
0,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven"
1,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
1,"""@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;"
0,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook"
1,"""@lildurk_: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
1,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard"
0,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"
1,"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12"
0,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"
0,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography"
0,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn"
0,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!"
0,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"
1,"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear"
1,"""@rugbysocklad: Lads being Lads! http://t.co/f3UJcYJ4OF"" fuck yeah. I love scally lad action. Hot trainers too."
1,"""@sierrabernia: &#8220;@T2G_CincoKilby: Y'all think celebrity pussy different from the locals? &#128514;&#8221; yeah Meghan goods is"""
0,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo"
0,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT"
0,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof"
1,"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&#128514;"
1,"""@thebravebird: #YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there"
1,"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch"
0,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395"
1,"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch."
0,"""Bae"" sounds like such a ghetto word. Use something else"
0,"""Brownies for my brownie"" I love this movie. &#128517;"
0,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS"
1,"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates"
1,"""Don't you ever give my pussy away. You keep it tight, alright?"""
1,"""Everything look better with a bitch next to it"""
1,"""For every bad bitch there is a nigga tired of fucking her"""
0,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T"
1,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe"""
1,"""He wanna be my nigga, but I'm just trinna be his savings account &#128553;"" &#128514;&#128557;&#128514;&#128557; omg imma funny ass bitch man, but that's Real Shit &#128175;"
0,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx"
1,"""I KNOW my shoes dirty as fuck, whatever, bitch. You don't have to call!""

Like, negro... one of the first things they LOOK at is shoes, dog"
0,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!"
0,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
1,"""I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her"""
1,"""I have this lady-love
She's married, but I still wanna bang her
She won't have sex with me
What a bitch"" ~A troubadour, probably"
1,"""I heard you was looking for Candy Man, bitch"""
1,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams @LetMicahDown"
0,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd"
1,"""I'm feelin like Malcolm in the middle, these bitches surround me they can't miss em"""
1,"""If you love her then hide yo bitch so you'll keep shorty.""
@wizkhalifa"
0,"""Is that an albino Mexican?""
""No dad, he's Asian."""
1,"""It takes a true directioner to accept Larry"" You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry"
0,"""Just follow the yellow brick twitter."""
0,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod"
1,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded"""
0,"""Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld?"" Van dat soort vragen waar je denkt: hoe leg ik die weer uit."
0,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids."""
1,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;"
1,"""Niggas be pressed for pussy, Eeeeeen nothin"""
0,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;"
0,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
1,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
1,"""Roberto you are one nasty hoe"""
1,"""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy http://t.co/kq0R0A7z2g"""
1,"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam"
0,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted"""
0,"""The water isn't yellow, I'm a healthy student"""
0,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch"""
1,"""This is for my ghetto motherfuckers"" -Missy Elliott"
0,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
0,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr""
- Robert Frost Giant"
1,"""Walked in that bitch like, NIGGA WE MADE IT!"""
1,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!"""
1,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an"
1,"""Why would you wanna be the Green Ranger? He's evil!"" Duh bitch"
0,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians)....."
0,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;"""
1,"""Yo bitch on the horn. Tryna shoot a porn."" - @KingL That's T shirt worthy Tony"
1,"""Yo mama, bitch."" RT @TheAceTJShow: What was the ONE sentence that ended your relationship?"
1,"""You ain't my bitch"" is my favorite response to long texts"
1,"""You and yo boys some pussy cats."""
1,"""You can take someone out of the ghetto, but you can't take the ghetto out of them."""
0,"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo"
0,"""You look like little birds help you get dressed in the morning"""
1,"""You're fucked up"" 
No shit you dumb ass cunt now go post pictures if your flat ass titties on ig slut"
0,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other."""
1,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes"""
1,"""call me Keyshawn Johnson cause im catchin erry hoe"""
1,"""dont show me no bitch unless she look like Dolly Parton!!!"""
0,"""hick and raver is a venn diagram that has a very large intersection"""
1,"""hoes suck my dick cus i look like john stockton hit em wit the choppa, luke i am your fatherrr"" - @LILBTHEBASEDGOD"
1,"""its britney bitch"" - the bible (leviticus 7:58) http://t.co/ZoAkn1ZlHm"
1,"""niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags"""
0,"""when rappers say twat it makes me feel weird"" &#128514;&#128514;&#128514;&#128557;"
1,#1personidbitchslap @Khamruz. Fa blowin my tl. Up like a bitches spare tire leavin dairy queen
0,#2013Faves RT &#8220;@grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221;
1,#AlexFromTarget had them bitches wet...lmmfao
0,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?
1,"#BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock"
0,"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. http://t.co/S6hY2eVoaT"
1,#BangBangBirdGang ya bitch you!!! 56 -fruit loop
1,#Bartending becomes a real bitch when you the #bartender are way way taller than the bar was designed for. Holy back pains.
0,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy."
0,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?"
0,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.
0,#BlessJesus The #Crown of HIS head to the sole of HIS feet
0,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?
0,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong
1,#California is full of white trash
0,"#CommonQuestionIGet

Why uou so ghetto?"
1,#DTLA is trash because of non-Europeans are allowed to live there.
1,"#DUH @Transhuman_: That's because they're possibly tucking a penis ""@EmperorIra: This bitch got man boobs http://t.co/VJvXwLrJoP""&#8221;"""
1,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!
1,"#DegenerateArtist KNOWS words&gt; Bo Jingo dangle fan slang ho, ting pang lick drum swing flick alarm bic&gt; But you can't hear fire can you?"
0,"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;"
0,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous"
0,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw
0,#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.
0,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers
0,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
0,"#FemaleLogic is worse than the jig, I'm convinced"
0,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees
1,#FreeElChapo is trending?! why cus French Montana's bitch ass?? you fucks that think selling drugs is cool are the LAMEST POSERS!!
1,#FreshmanAdvice and if you ain't a hoe get up out my traphouseeeeeeee
0,"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,"
0,#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP
0,#HappyColumbusDay !!!! If is wasn't for #America.................#KarlMarx would never have thought of sharing #colonialism with #injuns !!!
0,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........
0,#HellYeah RT @BaconGawd #No RT @HuffingtonPost Happy Fall! Pumpkin Spice Oreos are here http://t.co/2prvsKantE http://t.co/hleYm0YC29
0,"#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider, vegan sliders, brownies! http://t.co/BW9uYtLQu1"
0,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
0,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;
0,"#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers"
0,"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny"
0,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it
0,"#NP ""Centuries"" ~FOB"
1,#NationalCatDay ...sure. Celebrate over 1 BILLION bird deaths and blame it on #climatechange you fuckin' #commies.
0,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers
0,#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - http://t.co/R5wuXA9jB6
0,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
0,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
0,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6
0,#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW
0,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers
1,"#PeopleToAvoid
Valerie Jarrett, so I control my reflex to bitch slap her."
1,#PeopleWhoMadeMy2013 my little brother and i hate to admit it but @DirkAlisic and he knows why. but he's still a lil bitch though. fuck you!
1,"#QTNA RT @Major_K8: How y'all bitches gon breast feed wit nipple rings? &#128563;&#128534;"""
1,"#QuestionIAskMySelf why should I be slapping this hoe tuh solve something, ima leave it alone..............I never usually listen to myself"
0,"#RadioFreeNorthwest 218
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
http://t.co/t9JyhAncPR"
1,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome"
0,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!"
0,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.
0,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost
0,#RuinAComedian @midnight Charlie Lapdance
1,#Shoutout to my #Exit47 niccas! #Salute
1,#Shoutout to my #MackTown niccas!
0,#Skating is for trash.
0,#StopWhitePeople RT @ABC7: 9 cases of West Nile virus infections reported in Orange County this year; 105 dead birds found carrying virus
0,#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE
0,#THEBOONDOCKS at 10:30 my nicca!
0,#TRUTH RT @notashley: David is the Charlie Brown of #Scandal
1,#TheMostAnnoyingThingsInLife people who are NEVER happy and bitch-n-moan 100% of the time.
1,#TjohnGang&#128520; lil bitch follow me ! http://t.co/sd8UhT4DNY
0,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama
0,#WhatImCraving Peanut Butter Oreos &lt;3
